Category: All categories

Month,league of legends: (United States)
2004-01,<1
2004-02,<1
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,<1
2004-08,<1
2004-09,0
2004-10,<1
2004-11,0
2004-12,<1
2005-01,0
2005-02,0
2005-03,<1
2005-04,0
2005-05,<1
2005-06,0
2005-07,<1
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,<1
2006-01,<1
2006-02,0
2006-03,<1
2006-04,<1
2006-05,0
2006-06,0
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,0
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,1
2009-06,1
2009-07,2
2009-08,3
2009-09,5
2009-10,5
2009-11,8
2009-12,11
2010-01,12
2010-02,13
2010-03,14
2010-04,18
2010-05,19
2010-06,25
2010-07,32
2010-08,30
2010-09,30
2010-10,32
2010-11,30
2010-12,33
2011-01,45
2011-02,48
2011-03,47
2011-04,58
2011-05,60
2011-06,70
2011-07,75
2011-08,85
2011-09,75
2011-10,67
2011-11,61
2011-12,65
2012-01,60
2012-02,58
2012-03,60
2012-04,70
2012-05,63
2012-06,76
2012-07,74
2012-08,77
2012-09,70
2012-10,95
2012-11,80
2012-12,92
2013-01,83
2013-02,85
2013-03,92
2013-04,85
2013-05,91
2013-06,93
2013-07,98
2013-08,96
2013-09,100
2013-10,99
2013-11,93
2013-12,93
2014-01,87
2014-02,83
2014-03,79
2014-04,79
2014-05,84
2014-06,85
2014-07,91
2014-08,98
2014-09,94
2014-10,83
2014-11,82
2014-12,74
2015-01,74
2015-02,75
2015-03,71
2015-04,60
2015-05,72
2015-06,62
2015-07,65
2015-08,68
2015-09,62
2015-10,70
2015-11,59
2015-12,54
2016-01,55
2016-02,51
2016-03,50
2016-04,49
2016-05,46
2016-06,44
2016-07,34
2016-08,34
2016-09,38
2016-10,45
2016-11,38
2016-12,35
2017-01,33
2017-02,29
2017-03,29
2017-04,32
2017-05,30
2017-06,26
2017-07,27
2017-08,28
2017-09,27
2017-10,32
2017-11,37
2017-12,26
2018-01,27
2018-02,25
2018-03,23
2018-04,22
2018-05,21
2018-06,20
2018-07,21
2018-08,20
2018-09,22
2018-10,26
2018-11,28
2018-12,20
2019-01,23
2019-02,19
2019-03,17
2019-04,18
2019-05,20
2019-06,24
2019-07,22
2019-08,22
2019-09,21
2019-10,34
2019-11,28
2019-12,23
2020-01,24
2020-02,24
2020-03,28
2020-04,32
2020-05,28
2020-06,25
2020-07,29
2020-08,28
2020-09,29
2020-10,30
2020-11,25
2020-12,20
2021-01,23
2021-02,21
2021-03,20
2021-04,23
2021-05,20
2021-06,18
2021-07,19
2021-08,17
2021-09,17
2021-10,20
2021-11,52
2021-12,36
2022-01,32
2022-02,22
2022-03,14
